,FLD_CODE,FLD_CODE_NAME,SECT_CODE,SETC_NAME,FATR_CODE,FATR_NAME,CLCT_TYPE,UNIT
0,FG,시설원예,EI,내부환경,HI,내부습도,1,%
1,FG,시설원예,EI,내부환경,LI,내부조도,1,lux
2,FG,시설원예,EI,내부환경,CI,내부CO2,1,ppm
3,FG,시설원예,EI,내부환경,TI,내부온도,1,도
4,FG,시설원예,EI,내부환경,IS,일사량,1,W/m-2¡¤s
5,FG,시설원예,EI,내부환경,IR,광량,1,μmol/m-2·s
6,FG,시설원예,EI,내부환경,HI02,상대습도,1,%
7,FG,시설원예,EI,내부환경,HI01,절대습도,1,%
8,FG,시설원예,EL,토양환경,HL,지습,1,%
9,FG,시설원예,EL,토양환경,EL,토양EC,1,dS/m
10,FG,시설원예,EL,토양환경,PL,토양PH,1,ph
11,FG,시설원예,EL,토양환경,AI,관수량,1,liter
12,FG,시설원예,EL,토양환경,TL,지온,1,도
13,FG,시설원예,EO,외부환경,SR,일사량,1,w/㎡
14,FG,시설원예,EO,외부환경,RF,외부강우,1,mm
15,FG,시설원예,EO,외부환경,TE,외부온도,1,도
16,FG,시설원예,EO,외부환경,HE,외부습도,1,%
17,FG,시설원예,EO,외부환경,WD,외부풍향,1,도
18,FG,시설원예,EO,외부환경,WS,외부풍속,1,m/s
19,FG,시설원예,EO,외부환경,RP,강우감지,1,Y/N
20,FG,시설원예,NT,양액정보,PI,(양액)공급PH,1,ph
21,FG,시설원예,NT,양액정보,CF,(양액)압/출력,1,%
22,FG,시설원예,NT,양액정보,SI,(양액)총급액,1,ℓ
23,FG,시설원예,NT,양액정보,EO,(양액)배액EC,1,dS/m
24,FG,시설원예,NT,양액정보,PO,(양액)배액PH,1,ph
25,FG,시설원예,NT,양액정보,EI,(양액)공급EC,1,dS/m
26,FG,시설원예,NT,양액정보,CL,배지온도,1,도
27,FG,시설원예,NT,양액정보,BW,배지무게,1,kg
28,FG,시설원예,NT,양액정보,NI,(양액)공급량,1,cc
29,FG,시설원예,NT,양액정보,SO,(양액)총배액,1,ℓ
30,FG,시설원예,NT,양액정보,CN,(양액)공급횟수,1,회
31,FG,시설원예,NT,양액정보,AT,수분함수율,1,g
32,FG,시설원예,NT,양액정보,TL,지온,1,도
33,FG,시설원예,NT,양액정보,NO,(양액)배액량,1,cc
34,FG,시설원예,NT,양액정보,HL,지습,1,%
35,FG,시설원예,CR,제어정보,CC01_1_F_S_1,전측일중천창 설정온도,2,도
36,FG,시설원예,CR,제어정보,CC01_1_F_S_2,전측일중천창 열림값,2,%
37,FG,시설원예,CR,제어정보,CC01_1_F_S_3,전측일중천창 닫힘값,2,%
38,FG,시설원예,CR,제어정보,CC01_1_F_S_4,전측일중천창 온도폭,2,도
39,FG,시설원예,CR,제어정보,CC01_1_F_V,전측일중천창 개도,2,%
40,FG,시설원예,CR,제어정보,CC01_1_B_S_1,후측일중천창 설정온도,2,도
41,FG,시설원예,CR,제어정보,CC01_1_B_S_2,후측일중천창 열림값,2,%
42,FG,시설원예,CR,제어정보,CC01_1_B_S_3,후측일중천창 닫힘값,2,%
43,FG,시설원예,CR,제어정보,CC01_1_B_S_4,후측일중천창 온도폭,2,도
44,FG,시설원예,CR,제어정보,CC01_1_B_V,후측일중천창 개도,2,%
45,FG,시설원예,CR,제어정보,CC01_1_L_S_1,좌측일중천창 설정온도,2,도
46,FG,시설원예,CR,제어정보,CC01_1_L_S_2,좌측일중천창 열림값,2,%
47,FG,시설원예,CR,제어정보,CC01_1_L_S_3,좌측일중천창 닫힘값,2,%
48,FG,시설원예,CR,제어정보,CC01_1_L_S_4,좌측일중천창 온도폭,2,도
49,FG,시설원예,CR,제어정보,CC01_1_L_V,좌측일중천창 개도,2,%
