,index,userId,statusCode,statusMessage,croppingSerlNo,croppingSeasonName,croppingDate,croppingEndDate,croppingSystem,itemCode,cultivationArea,calCultivationArea,plantNum,calPlantNum,stemSlabNum,planSlabNum,plantDensity,standardPlantDensity,floodlightDec,leafArea,stndTemp,stndWeight,stndSolar,stndMeta
0,0,PFS_0000001,00,NORMAL_CODE,79,데프니스_20150902,2015-09-02 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,1180.0,3894.0,9504.0,2.73,4.0,4.0,2.44,2.5,0.8,0.0,20.0,180.0,150.0,130.0
1,1,PFS_0000002,00,NORMAL_CODE,80,다볼_20150714,2015-07-14 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3400.0,11220.0,26544.0,2.73,4.0,4.0,2.37,2.5,0.7,0.0,20.0,180.0,150.0,150.0
2,2,PFS_0000003,00,NORMAL_CODE,81,데프니스_20150902,2015-09-02 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,1500.0,4950.0,11860.0,2.73,2.0,4.0,2.4,2.5,0.7,0.0,18.0,180.0,100.0,130.0
3,3,PFS_0000004,00,NORMAL_CODE,82,데프니스_20150720,2015-07-20 00:00:00,2016-06-30 00:00:00,B0004000000000000002,080300,1200.0,3973.0,9359.0,2.73,5.0,5.0,2.36,2.5,0.65,0.0,18.0,180.0,100.0,130.0
4,4,PFS_0000006,00,NORMAL_CODE,69,다볼_20150625,2015-06-25 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,22068.0,2.73,2.0,2.0,2.23,6.8,0.7,0.0,20.0,180.0,150.0,150.0
5,5,PFS_0000007,00,NORMAL_CODE,70,데프니스_20150712,2015-07-12 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,5800.0,19140.0,54260.0,2.73,5.0,5.0,2.83,2.5,0.8,0.0,20.0,180.0,150.0,130.0
6,7,PFS_0000009,00,NORMAL_CODE,72,다볼_20150720,2015-07-20 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,24935.0,2.73,6.0,6.0,2.52,6.8,0.7,0.0,20.0,180.0,120.0,150.0
7,8,PF_0000002,00,NORMAL_CODE,43,에티켓_20160214,2016-02-14 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,70.0,100.0,130.0
8,9,PF_0000004,00,NORMAL_CODE,38,337_20160131,2016-01-31 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,180.0,100.0,130.0
9,10,PF_0000005,00,NORMAL_CODE,33,337_20160131,2016-01-31 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,180.0,100.0,130.0
10,11,PF_0000006,00,NORMAL_CODE,39,레몬시트_20151030,2015-10-30 00:00:00,2016-12-31 00:00:00,B0004000000000000001,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,180.0,100.0,130.0
11,12,PF_0000007,00,NORMAL_CODE,31,339완숙_20150904,2015-09-04 00:00:00,2016-01-21 00:00:00,B0004000000000000001,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,180.0,100.0,130.0
12,13,PF_0000008,00,NORMAL_CODE,35,베타티니_20151116,2015-11-16 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,70.0,100.0,130.0
13,14,PF_0000009,00,NORMAL_CODE,40,TY티니_20150801,2015-08-01 00:00:00,2015-10-11 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,70.0,100.0,130.0
14,15,PF_0000010,00,NORMAL_CODE,48,베타티니_20160130,2016-01-30 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,70.0,100.0,130.0
15,16,PF_0000011,00,NORMAL_CODE,23,센스큐_20150815,2015-08-15 00:00:00,2016-01-24 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,70.0,100.0,130.0
16,17,PF_0000012,00,NORMAL_CODE,25,데프니스_20150903,2015-09-03 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,180.0,100.0,130.0
17,18,PF_0000013,00,NORMAL_CODE,22,칸파리_20151106,2015-11-06 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,180.0,100.0,130.0
18,19,PF_0000014,00,NORMAL_CODE,27,파워요요_20151020,2015-10-20 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,70.0,100.0,130.0
19,20,PF_0000015,00,NORMAL_CODE,26,디전트_20151020,2015-10-20 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,70.0,100.0,130.0
20,21,PF_0000016,00,NORMAL_CODE,29,꼬꼬_20150805,2015-08-05 00:00:00,2016-01-10 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,70.0,100.0,130.0
21,22,PF_0000017,00,NORMAL_CODE,197,센스큐_20160520,2016-05-20 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,180.0,100.0,130.0
22,23,PF_0000018,00,NORMAL_CODE,2007,2019_토마토,2019-07-29 00:00:00,2020-06-30 00:00:00,,080300,1996.5,6600.0,14400.0,0.5,,,,,,,,,,
23,24,PF_0000019,00,NORMAL_CODE,186,대추_20151202,2015-12-02 00:00:00,2016-12-31 00:00:00,B0004000000000000001,080300,1600.0,9900.0,12000.0,2.73,4.0,4.0,2.73,2.5,0.7,0.0,18.0,180.0,100.0,130.0
24,25,PF_0000020,00,NORMAL_CODE,187,방울_20151207,2015-12-07 00:00:00,2016-12-31 00:00:00,B0004000000000000001,080300,900.0,9900.0,23000.0,2.73,4.0,4.0,2.73,2.5,0.7,0.0,18.0,180.0,100.0,130.0
25,26,PF_0000034,00,NORMAL_CODE,34,7160_20151105,2015-11-05 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,70.0,100.0,130.0
26,27,PF_0000039,00,NORMAL_CODE,298,티와이_2016,2016-10-08 00:00:00,2017-10-08 00:00:00,B0004000000000000002,080300,,,,2.73,,,,,,,,100.0,,
27,28,PF_0000040,00,NORMAL_CODE,300,다볼_2016,2016-09-25 00:00:00,2017-09-25 00:00:00,B0004000000000000002,080300,,,,2.73,,,,,,,,100.0,,
28,29,PF_0000042,00,NORMAL_CODE,297,데프니스_2016,2016-09-22 00:00:00,2017-09-22 00:00:00,B0004000000000000002,080300,,,,2.73,,,,,,,,100.0,,
29,30,PF_0000043,00,NORMAL_CODE,296,메리바_2016,2016-08-26 00:00:00,2017-08-26 00:00:00,B0004000000000000002,080300,,,,2.73,,,,,,,,100.0,,
30,31,PF_0000047,00,NORMAL_CODE,399,2017토마토,2016-08-20 00:00:00,2017-08-20 00:00:00,B0004000000000000002,080300,,,,,,,,,,,,180.0,,
31,32,PF_0000099,00,NORMAL_CODE,314,2016_마무리오,2016-11-22 00:00:00,2017-11-22 00:00:00,B0004000000000000002,080300,,,,,,,,,,,,,,
32,33,PF_0000116,00,NORMAL_CODE,299,데프니스_2016,2016-08-28 00:00:00,2017-08-27 00:00:00,B0004000000000000002,080300,,,,2.73,,,,,,,,100.0,,
33,34,PF_0000125,00,NORMAL_CODE,317,2016_티와이트스트,2016-08-08 00:00:00,2017-08-08 00:00:00,B0004000000000000002,080300,,,,,,,,,,,,,,
34,35,PF_0000185,00,NORMAL_CODE,292,데퍼니스_2016,2016-08-12 00:00:00,2017-08-12 00:00:00,B0004000000000000002,080300,,,,2.73,,,,,,,,100.0,,
35,36,PF_0000227,00,NORMAL_CODE,320,2016_토마토,2016-12-09 00:00:00,2017-12-09 00:00:00,B0004000000000000002,080300,,,,,,,,,,,,,,
36,37,PF_0000265,00,NORMAL_CODE,74,트리오플러스_160101,2016-01-01 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,180.0,100.0,130.0
37,38,PF_0000304,00,NORMAL_CODE,294,티알팔팔_2016,2016-10-05 00:00:00,2017-10-05 00:00:00,B0004000000000000002,080300,,,,2.73,,,,,,,,100.0,,
38,39,PF_0000365,00,NORMAL_CODE,349,2017_토마토,2017-06-14 00:00:00,2018-02-22 00:00:00,B0004000000000000002,080300,,,,,,,,,,,,,,
39,40,PF_0001001,00,NORMAL_CODE,21,데프니스_20150710,2015-07-10 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,180.0,100.0,130.0
40,41,PF_0001002,00,NORMAL_CODE,20,스타벅_20150801,2015-08-01 00:00:00,2016-12-31 00:00:00,B0004000000000000002,080300,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7,0.0,18.0,180.0,100.0,130.0
