,examinDe,fcltyId,itemCode,croppingSerlNo,examinMasterSn,examinSn,sampleNo,examinIemCode,examinIemNm,examinIemValue,examinIemUnit
0,20150712,PFS_0000006_01,080300,69,841,43733,1,10000002,생장길이,0.0,cm
1,20150712,PFS_0000006_01,080300,69,841,43734,1,10000008,화방높이,0.0,cm
2,20150712,PFS_0000006_01,080300,69,841,43735,1,10000007,줄기직경,0.0,mm
3,20150712,PFS_0000006_01,080300,69,841,43736,1,10000004,엽장,0.0,cm
4,20150712,PFS_0000006_01,080300,69,841,43737,1,10000005,엽폭,0.0,cm
5,20150712,PFS_0000006_01,080300,69,841,43738,1,10000003,엽수,0.0,개
6,20150712,PFS_0000006_01,080300,69,841,43739,1,10000014,개화군,0.0,점
7,20150712,PFS_0000006_01,080300,69,841,43740,1,10000015,착과군,0.0,점
8,20150712,PFS_0000006_01,080300,69,841,43741,1,10000012,열매수,0.0,개
9,20150712,PFS_0000006_01,080300,69,841,43742,1,10000016,수확군,0.0,점
10,20150712,PFS_0000006_01,080300,69,841,43743,1,10000019,PED,0.0,
11,20150712,PFS_0000006_01,080300,69,841,43744,1,10000020,수광량,0.0,
12,20150712,PFS_0000006_01,080300,69,841,43745,1,10000017,평균 과중,220.0,g
13,20150712,PFS_0000006_01,080300,69,841,43746,2,10000002,생장길이,0.0,cm
14,20150712,PFS_0000006_01,080300,69,841,43747,2,10000008,화방높이,0.0,cm
15,20150712,PFS_0000006_01,080300,69,841,43748,2,10000007,줄기직경,0.0,mm
16,20150712,PFS_0000006_01,080300,69,841,43749,2,10000004,엽장,0.0,cm
17,20150712,PFS_0000006_01,080300,69,841,43750,2,10000005,엽폭,0.0,cm
18,20150712,PFS_0000006_01,080300,69,841,43751,2,10000003,엽수,0.0,개
19,20150712,PFS_0000006_01,080300,69,841,43752,2,10000014,개화군,0.0,점
20,20150712,PFS_0000006_01,080300,69,841,43753,2,10000015,착과군,0.0,점
21,20150712,PFS_0000006_01,080300,69,841,43754,2,10000012,열매수,0.0,개
22,20150712,PFS_0000006_01,080300,69,841,43755,2,10000016,수확군,0.0,점
23,20150712,PFS_0000006_01,080300,69,841,43756,2,10000019,PED,0.0,
24,20150712,PFS_0000006_01,080300,69,841,43757,2,10000020,수광량,0.0,
25,20150712,PFS_0000006_01,080300,69,841,43758,2,10000017,평균 과중,220.0,g
26,20150712,PFS_0000006_01,080300,69,841,43759,3,10000002,생장길이,0.0,cm
27,20150712,PFS_0000006_01,080300,69,841,43760,3,10000008,화방높이,0.0,cm
28,20150712,PFS_0000006_01,080300,69,841,43761,3,10000007,줄기직경,0.0,mm
29,20150712,PFS_0000006_01,080300,69,841,43762,3,10000004,엽장,0.0,cm
30,20150712,PFS_0000006_01,080300,69,841,43763,3,10000005,엽폭,0.0,cm
31,20150712,PFS_0000006_01,080300,69,841,43764,3,10000003,엽수,0.0,개
32,20150712,PFS_0000006_01,080300,69,841,43765,3,10000014,개화군,0.0,점
33,20150712,PFS_0000006_01,080300,69,841,43766,3,10000015,착과군,0.0,점
34,20150712,PFS_0000006_01,080300,69,841,43767,3,10000012,열매수,0.0,개
35,20150712,PFS_0000006_01,080300,69,841,43768,3,10000016,수확군,0.0,점
36,20150712,PFS_0000006_01,080300,69,841,43769,3,10000019,PED,0.0,
37,20150712,PFS_0000006_01,080300,69,841,43770,3,10000020,수광량,0.0,
38,20150712,PFS_0000006_01,080300,69,841,43771,3,10000017,평균 과중,220.0,g
39,20150712,PFS_0000006_01,080300,69,841,43772,4,10000002,생장길이,0.0,cm
40,20150712,PFS_0000006_01,080300,69,841,43773,4,10000008,화방높이,0.0,cm
41,20150712,PFS_0000006_01,080300,69,841,43774,4,10000007,줄기직경,0.0,mm
42,20150712,PFS_0000006_01,080300,69,841,43775,4,10000004,엽장,0.0,cm
43,20150712,PFS_0000006_01,080300,69,841,43776,4,10000005,엽폭,0.0,cm
44,20150712,PFS_0000006_01,080300,69,841,43777,4,10000003,엽수,0.0,개
45,20150712,PFS_0000006_01,080300,69,841,43778,4,10000014,개화군,0.0,점
46,20150712,PFS_0000006_01,080300,69,841,43779,4,10000015,착과군,0.0,점
47,20150712,PFS_0000006_01,080300,69,841,43780,4,10000012,열매수,0.0,개
48,20150712,PFS_0000006_01,080300,69,841,43781,4,10000016,수확군,0.0,점
49,20150712,PFS_0000006_01,080300,69,841,43782,4,10000019,PED,0.0,
