,examinDe,fcltyId,itemCode,croppingSerlNo,examinMasterSn,examinSn,sampleNo,examinIemCode,examinIemNm,examinIemValue,examinIemUnit
0,20151115,PF_0000014_01,080300,27,1,1,1,10000017,평균 과중,0.0,g
1,20151115,PF_0000014_01,080300,27,1,2,1,10000020,수광량,0.0,
2,20151115,PF_0000014_01,080300,27,1,3,1,10000019,PED,0.0,
3,20151115,PF_0000014_01,080300,27,1,4,1,10000016,수확군,0.0,점
4,20151115,PF_0000014_01,080300,27,1,5,1,10000012,열매수,0.0,개
5,20151115,PF_0000014_01,080300,27,1,6,1,10000015,착과군,0.0,점
6,20151115,PF_0000014_01,080300,27,1,7,1,10000002,생장길이,8.0,cm
7,20151115,PF_0000014_01,080300,27,1,8,1,10000003,엽수,10.0,개
8,20151115,PF_0000014_01,080300,27,1,9,1,10000005,엽폭,33.0,cm
9,20151115,PF_0000014_01,080300,27,1,10,1,10000004,엽장,25.0,cm
10,20151115,PF_0000014_01,080300,27,1,11,1,10000007,줄기직경,8.0,mm
11,20151115,PF_0000014_01,080300,27,1,12,1,10000008,화방높이,5.7,cm
12,20151115,PF_0000014_01,080300,27,1,13,1,10000014,개화군,1.66,점
13,20151115,PF_0000014_01,080300,27,1,14,2,10000017,평균 과중,0.0,g
14,20151115,PF_0000014_01,080300,27,1,15,2,10000020,수광량,0.0,
15,20151115,PF_0000014_01,080300,27,1,16,2,10000019,PED,0.0,
16,20151115,PF_0000014_01,080300,27,1,17,2,10000016,수확군,0.0,점
17,20151115,PF_0000014_01,080300,27,1,18,2,10000012,열매수,0.0,개
18,20151115,PF_0000014_01,080300,27,1,19,2,10000015,착과군,0.0,점
19,20151115,PF_0000014_01,080300,27,1,20,2,10000002,생장길이,5.0,cm
20,20151115,PF_0000014_01,080300,27,1,21,2,10000003,엽수,14.0,개
21,20151115,PF_0000014_01,080300,27,1,22,2,10000005,엽폭,21.4,cm
22,20151115,PF_0000014_01,080300,27,1,23,2,10000004,엽장,40.0,cm
23,20151115,PF_0000014_01,080300,27,1,24,2,10000007,줄기직경,7.64,mm
24,20151115,PF_0000014_01,080300,27,1,25,2,10000008,화방높이,17.0,cm
25,20151115,PF_0000014_01,080300,27,1,26,2,10000014,개화군,1.45,점
26,20151115,PF_0000014_01,080300,27,1,27,3,10000017,평균 과중,0.0,g
27,20151115,PF_0000014_01,080300,27,1,28,3,10000020,수광량,0.0,
28,20151115,PF_0000014_01,080300,27,1,29,3,10000019,PED,0.0,
29,20151115,PF_0000014_01,080300,27,1,30,3,10000016,수확군,0.0,점
30,20151115,PF_0000014_01,080300,27,1,31,3,10000012,열매수,0.0,개
31,20151115,PF_0000014_01,080300,27,1,32,3,10000015,착과군,0.0,점
32,20151115,PF_0000014_01,080300,27,1,33,3,10000002,생장길이,11.0,cm
33,20151115,PF_0000014_01,080300,27,1,34,3,10000003,엽수,9.0,개
