,examinDe,fcltyId,itemCode,croppingSerlNo,examinMasterSn,examinSn,sampleNo,examinIemCode,examinIemNm,examinIemValue,examinIemUnit
0,20160207,sk0081_01,080300,41,75,3849,1,10000002,생장길이,0.0,cm
1,20160207,sk0081_01,080300,41,75,3850,1,10000007,줄기직경,2.44,mm
2,20160207,sk0081_01,080300,41,75,3851,1,10000008,화방높이,0.0,cm
3,20160207,sk0081_01,080300,41,75,3852,1,10000005,엽폭,11.0,cm
4,20160207,sk0081_01,080300,41,75,3853,1,10000004,엽장,15.5,cm
5,20160207,sk0081_01,080300,41,75,3854,1,10000015,착과군,0.0,점
6,20160207,sk0081_01,080300,41,75,3855,1,10000014,개화군,0.0,점
7,20160207,sk0081_01,080300,41,75,3856,1,10000003,엽수,8.0,개
8,20160207,sk0081_01,080300,41,75,3857,1,10000012,열매수,0.0,개
9,20160207,sk0081_01,080300,41,75,3858,1,10000019,PED,0.0,
10,20160207,sk0081_01,080300,41,75,3859,1,10000016,수확군,0.0,점
11,20160207,sk0081_01,080300,41,75,3860,1,10000017,평균 과중,0.0,g
12,20160207,sk0081_01,080300,41,75,3861,1,10000020,수광량,0.0,
13,20160207,sk0081_01,080300,41,75,3862,2,10000002,생장길이,0.0,cm
14,20160207,sk0081_01,080300,41,75,3863,2,10000007,줄기직경,1.91,mm
15,20160207,sk0081_01,080300,41,75,3864,2,10000008,화방높이,0.0,cm
16,20160207,sk0081_01,080300,41,75,3865,2,10000005,엽폭,10.5,cm
17,20160207,sk0081_01,080300,41,75,3866,2,10000004,엽장,15.5,cm
18,20160207,sk0081_01,080300,41,75,3867,2,10000015,착과군,0.0,점
19,20160207,sk0081_01,080300,41,75,3868,2,10000014,개화군,0.0,점
20,20160207,sk0081_01,080300,41,75,3869,2,10000003,엽수,8.0,개
21,20160207,sk0081_01,080300,41,75,3870,2,10000012,열매수,0.0,개
22,20160207,sk0081_01,080300,41,75,3871,2,10000019,PED,0.0,
23,20160207,sk0081_01,080300,41,75,3872,2,10000016,수확군,0.0,점
24,20160207,sk0081_01,080300,41,75,3873,2,10000017,평균 과중,0.0,g
25,20160207,sk0081_01,080300,41,75,3874,2,10000020,수광량,0.0,
26,20160207,sk0081_01,080300,41,75,3875,3,10000008,화방높이,0.0,cm
27,20160207,sk0081_01,080300,41,75,3876,3,10000002,생장길이,0.0,cm
28,20160207,sk0081_01,080300,41,75,3877,3,10000007,줄기직경,1.35,mm
29,20160207,sk0081_01,080300,41,75,3878,3,10000005,엽폭,11.5,cm
30,20160207,sk0081_01,080300,41,75,3879,3,10000004,엽장,13.0,cm
31,20160207,sk0081_01,080300,41,75,3880,3,10000015,착과군,0.0,점
32,20160207,sk0081_01,080300,41,75,3881,3,10000014,개화군,0.0,점
33,20160207,sk0081_01,080300,41,75,3882,3,10000003,엽수,7.0,개
34,20160207,sk0081_01,080300,41,75,3883,3,10000012,열매수,0.0,개
35,20160207,sk0081_01,080300,41,75,3884,3,10000019,PED,0.0,
36,20160207,sk0081_01,080300,41,75,3885,3,10000016,수확군,0.0,점
37,20160207,sk0081_01,080300,41,75,3886,3,10000017,평균 과중,0.0,g
38,20160207,sk0081_01,080300,41,75,3887,3,10000020,수광량,0.0,
39,20160207,sk0081_01,080300,41,75,3888,4,10000008,화방높이,0.0,cm
40,20160207,sk0081_01,080300,41,75,3889,4,10000002,생장길이,0.0,cm
41,20160207,sk0081_01,080300,41,75,3890,4,10000007,줄기직경,1.46,mm
42,20160207,sk0081_01,080300,41,75,3891,4,10000005,엽폭,10.0,cm
43,20160207,sk0081_01,080300,41,75,3892,4,10000004,엽장,13.5,cm
44,20160207,sk0081_01,080300,41,75,3893,4,10000014,개화군,0.0,점
45,20160207,sk0081_01,080300,41,75,3894,4,10000003,엽수,9.0,개
46,20160207,sk0081_01,080300,41,75,3895,4,10000012,열매수,0.0,개
47,20160207,sk0081_01,080300,41,75,3896,4,10000015,착과군,0.0,점
48,20160207,sk0081_01,080300,41,75,3897,4,10000019,PED,0.0,
49,20160207,sk0081_01,080300,41,75,3898,4,10000016,수확군,0.0,점
50,20160207,sk0081_01,080300,41,75,3899,4,10000017,평균 과중,0.0,g
51,20160207,sk0081_01,080300,41,75,3900,4,10000020,수광량,0.0,
52,20160214,sk0081_01,080300,41,76,3901,1,10000008,화방높이,4.0,cm
53,20160214,sk0081_01,080300,41,76,3902,1,10000002,생장길이,7.0,cm
54,20160214,sk0081_01,080300,41,76,3903,1,10000004,엽장,18.0,cm
55,20160214,sk0081_01,080300,41,76,3904,1,10000007,줄기직경,3.8,mm
56,20160214,sk0081_01,080300,41,76,3905,1,10000005,엽폭,12.0,cm
57,20160214,sk0081_01,080300,41,76,3906,1,10000014,개화군,0.2,점
58,20160214,sk0081_01,080300,41,76,3907,1,10000003,엽수,9.0,개
59,20160214,sk0081_01,080300,41,76,3908,1,10000012,열매수,0.0,개
60,20160214,sk0081_01,080300,41,76,3909,1,10000015,착과군,0.0,점
61,20160214,sk0081_01,080300,41,76,3910,1,10000019,PED,0.0,
62,20160214,sk0081_01,080300,41,76,3911,1,10000016,수확군,0.0,점
63,20160214,sk0081_01,080300,41,76,3912,1,10000017,평균 과중,0.0,g
64,20160214,sk0081_01,080300,41,76,3913,1,10000020,수광량,0.0,
65,20160214,sk0081_01,080300,41,76,3914,2,10000008,화방높이,7.0,cm
66,20160214,sk0081_01,080300,41,76,3915,2,10000002,생장길이,10.0,cm
67,20160214,sk0081_01,080300,41,76,3916,2,10000004,엽장,19.0,cm
68,20160214,sk0081_01,080300,41,76,3917,2,10000007,줄기직경,4.1,mm
69,20160214,sk0081_01,080300,41,76,3918,2,10000005,엽폭,13.0,cm
70,20160214,sk0081_01,080300,41,76,3919,2,10000014,개화군,0.2,점
71,20160214,sk0081_01,080300,41,76,3920,2,10000003,엽수,42.0,개
72,20160214,sk0081_01,080300,41,76,3921,2,10000012,열매수,0.0,개
73,20160214,sk0081_01,080300,41,76,3922,2,10000015,착과군,0.0,점
74,20160214,sk0081_01,080300,41,76,3923,2,10000019,PED,0.0,
75,20160214,sk0081_01,080300,41,76,3924,2,10000016,수확군,0.0,점
76,20160214,sk0081_01,080300,41,76,3925,2,10000017,평균 과중,0.0,g
77,20160214,sk0081_01,080300,41,76,3926,2,10000020,수광량,0.0,
78,20160214,sk0081_01,080300,41,76,3927,3,10000002,생장길이,5.0,cm
79,20160214,sk0081_01,080300,41,76,3928,3,10000007,줄기직경,3.19,mm
80,20160214,sk0081_01,080300,41,76,3929,3,10000008,화방높이,0.0,cm
81,20160214,sk0081_01,080300,41,76,3930,3,10000005,엽폭,14.0,cm
82,20160214,sk0081_01,080300,41,76,3931,3,10000004,엽장,15.0,cm
83,20160214,sk0081_01,080300,41,76,3932,3,10000014,개화군,0.0,점
84,20160214,sk0081_01,080300,41,76,3933,3,10000003,엽수,9.0,개
85,20160214,sk0081_01,080300,41,76,3934,3,10000012,열매수,0.0,개
86,20160214,sk0081_01,080300,41,76,3935,3,10000015,착과군,0.0,점
87,20160214,sk0081_01,080300,41,76,3936,3,10000019,PED,0.0,
88,20160214,sk0081_01,080300,41,76,3937,3,10000016,수확군,0.0,점
89,20160214,sk0081_01,080300,41,76,3938,3,10000017,평균 과중,0.0,g
90,20160214,sk0081_01,080300,41,76,3939,3,10000020,수광량,0.0,
91,20160214,sk0081_01,080300,41,76,3940,4,10000002,생장길이,10.0,cm
92,20160214,sk0081_01,080300,41,76,3941,4,10000007,줄기직경,4.55,mm
93,20160214,sk0081_01,080300,41,76,3942,4,10000008,화방높이,0.0,cm
94,20160214,sk0081_01,080300,41,76,3943,4,10000005,엽폭,11.0,cm
95,20160214,sk0081_01,080300,41,76,3944,4,10000004,엽장,17.0,cm
96,20160214,sk0081_01,080300,41,76,3945,4,10000014,개화군,0.0,점
97,20160214,sk0081_01,080300,41,76,3946,4,10000003,엽수,10.0,개
98,20160214,sk0081_01,080300,41,76,3947,4,10000012,열매수,0.0,개
99,20160214,sk0081_01,080300,41,76,3948,4,10000015,착과군,0.0,점
100,20160214,sk0081_01,080300,41,76,3949,4,10000019,PED,0.0,
101,20160214,sk0081_01,080300,41,76,3950,4,10000016,수확군,0.0,점
102,20160214,sk0081_01,080300,41,76,3951,4,10000017,평균 과중,0.0,g
103,20160214,sk0081_01,080300,41,76,3952,4,10000020,수광량,0.0,
104,20160221,sk0081_01,080300,41,77,3953,1,10000008,화방높이,14.0,cm
105,20160221,sk0081_01,080300,41,77,3954,1,10000002,생장길이,12.0,cm
