,index,growLength,flowerTop,stemDiameter,leavesLength,leavesWidth,leavesNum,flowerPosition,fruitsPosition,fruitsNum,measDate,userId
0,2,35.7,21.5,10.18,39.2,28.6,17.0,11.7,1.7,5.0,2017-03-26 00:00:00,PF_0000227
1,3,26.4,1.9,5.25,39.2,28.4,15.0,27.7,21.3,64.0,2017-04-02 00:00:00,PF_0000227
2,4,14.0,10.5,6.66,42.0,28.0,20.0,2.8,8.0,93.0,2017-04-23 00:00:00,PF_0000227
3,5,8.0,9.0,8.8,41.0,24.0,18.0,2.4,8.0,87.0,2017-05-07 00:00:00,PF_0000227
4,6,0.1,11.0,2.98,29.0,22.0,18.0,0.6,7.0,103.0,2017-05-14 00:00:00,PF_0000227
5,7,0.0,13.0,5.66,32.0,24.0,22.0,0.4,8.0,87.0,2017-05-21 00:00:00,PF_0000227
6,8,20.0,3.0,7.05,37.0,24.0,21.0,0.0,5.0,49.0,2017-05-28 00:00:00,PF_0000227
7,9,1.0,1.0,6.77,40.0,30.0,18.0,0.0,5.0,59.0,2017-05-28 00:00:00,PF_0000227
8,10,7.0,6.0,3.66,35.0,25.0,23.0,0.0,5.0,49.0,2017-06-04 00:00:00,PF_0000227
9,11,32.4,13.1,6.7,36.2,29.8,13.0,6.2,2.0,6.0,2017-03-26 00:00:00,PF_0000227
10,12,22.7,32.0,9.28,36.0,25.0,15.0,0.8,5.0,74.0,2017-04-09 00:00:00,PF_0000227
11,13,20.0,18.0,8.64,35.6,23.0,20.0,1.7,4.8,92.0,2017-04-09 00:00:00,PF_0000227
12,14,21.0,12.0,7.97,37.0,22.0,19.0,1.4,6.0,94.0,2017-04-09 00:00:00,PF_0000227
13,15,26.0,13.0,7.16,32.0,22.0,22.0,9.0,7.0,85.0,2017-04-16 00:00:00,PF_0000227
14,16,1.0,2.5,4.42,39.0,24.0,21.0,2.0,8.0,83.0,2017-04-30 00:00:00,PF_0000227
15,17,2.0,1.0,5.15,41.0,31.0,16.0,0.4,8.0,101.0,2017-05-14 00:00:00,PF_0000227
16,18,0.0,1.0,5.87,30.0,21.0,21.0,0.2,7.0,68.0,2017-05-21 00:00:00,PF_0000227
17,19,15.0,26.0,3.51,39.0,31.0,21.0,0.0,4.0,42.0,2017-06-04 00:00:00,PF_0000227
18,20,26.3,3.6,6.92,35.6,28.3,16.0,31.0,22.0,66.0,2017-04-02 00:00:00,PF_0000227
19,21,22.1,6.3,6.32,38.4,28.9,16.0,41.0,30.0,90.0,2017-04-02 00:00:00,PF_0000227
20,22,24.0,14.0,7.5,27.0,20.0,21.0,7.8,5.8,103.0,2017-04-16 00:00:00,PF_0000227
21,23,4.0,8.0,5.87,34.0,22.0,19.0,1.0,9.0,97.0,2017-04-30 00:00:00,PF_0000227
22,24,1.0,3.0,7.36,31.0,19.0,19.0,1.0,7.0,94.0,2017-05-07 00:00:00,PF_0000227
23,25,21.1,3.6,6.53,40.6,31.1,17.0,30.7,23.7,71.0,2017-04-02 00:00:00,PF_0000227
24,26,20.0,26.0,9.01,41.0,30.0,19.0,7.6,6.4,59.0,2017-04-16 00:00:00,PF_0000227
25,27,12.6,5.0,5.5,36.7,24.0,17.0,2.0,9.0,86.0,2017-04-23 00:00:00,PF_0000227
26,28,10.0,13.0,7.41,33.0,18.0,20.0,1.0,8.0,106.0,2017-05-07 00:00:00,PF_0000227
27,29,0.0,14.0,5.65,34.0,25.0,19.0,0.0,6.0,52.0,2017-05-28 00:00:00,PF_0000227
28,30,0.0,0.0,7.09,38.0,29.0,16.0,0.0,4.0,27.0,2017-06-11 00:00:00,PF_0000227
29,31,21.0,22.5,8.68,38.5,25.0,17.0,9.0,8.0,82.0,2017-04-16 00:00:00,PF_0000227
30,32,20.6,1.5,3.64,31.0,19.0,19.0,2.4,10.0,126.0,2017-04-23 00:00:00,PF_0000227
31,33,4.0,22.0,3.9,37.0,26.0,16.0,0.0,7.0,76.0,2017-05-14 00:00:00,PF_0000227
32,34,0.1,3.0,5.09,33.0,21.0,19.0,0.2,8.0,97.0,2017-05-14 00:00:00,PF_0000227
33,35,3.0,25.2,7.49,34.0,23.0,17.0,0.0,6.0,72.0,2017-05-21 00:00:00,PF_0000227
34,36,6.0,30.0,4.55,32.0,22.0,24.0,0.0,4.0,26.0,2017-06-11 00:00:00,PF_0000227
35,37,31.1,23.2,11.61,37.3,25.1,12.0,12.7,1.7,5.0,2017-03-26 00:00:00,PF_0000227
36,38,0.0,2.0,7.72,31.0,21.0,22.0,0.0,5.0,41.0,2017-05-28 00:00:00,PF_0000227
37,39,8.0,8.0,3.46,32.0,23.0,23.0,0.0,4.0,23.0,2017-06-04 00:00:00,PF_0000227
38,40,25.0,0.0,4.45,41.0,30.0,25.0,0.0,4.0,41.0,2017-06-11 00:00:00,PF_0000227
39,41,229.0,8.2,7.65,34.9,19.5,21.0,12.7,1.7,5.0,2017-03-19 00:00:00,PF_0000227
40,42,239.0,15.1,9.91,36.3,33.5,21.0,14.3,1.3,4.0,2017-03-19 00:00:00,PF_0000227
41,43,34.3,16.2,8.41,34.6,21.4,11.0,8.7,1.3,4.0,2017-03-26 00:00:00,PF_0000227
42,44,25.3,6.7,7.5,32.6,16.0,16.0,1.5,6.8,69.0,2017-04-09 00:00:00,PF_0000227
43,45,8.0,1.0,4.89,43.0,31.0,17.0,2.0,7.0,69.0,2017-04-30 00:00:00,PF_0000227
44,46,0.0,1.0,6.97,39.0,32.0,16.0,0.4,7.0,81.0,2017-05-21 00:00:00,PF_0000227
45,47,23.0,20.0,5.66,32.0,19.0,22.0,1.0,5.0,30.0,2017-06-04 00:00:00,PF_0000227
46,48,17.0,2.0,3.26,35.0,22.0,21.0,2.2,10.0,112.0,2017-04-23 00:00:00,PF_0000227
47,49,13.0,14.0,4.31,35.0,23.0,18.0,2.0,9.0,112.0,2017-04-30 00:00:00,PF_0000227
48,50,3.0,11.0,7.37,37.0,25.0,18.0,1.0,8.0,92.0,2017-05-07 00:00:00,PF_0000227
49,51,7.0,14.0,5.71,33.0,23.0,23.0,0.0,6.0,39.0,2017-06-11 00:00:00,PF_0000227
50,2,13.5,29.0,11.75,49.0,48.0,6.0,5.76,3.63,5.0,2020-01-06 00:00:00,PF_0010019
51,3,27.0,26.0,11.62,44.0,28.0,7.0,22.9,20.34,35.0,2020-02-03 00:00:00,PF_0010019
52,4,20.0,13.0,9.0,38.0,29.0,10.0,23.42,21.14,41.0,2020-02-03 00:00:00,PF_0010019
53,5,22.0,12.0,6.83,37.0,21.0,17.0,16.13,71.18,157.0,2020-03-16 00:00:00,PF_0010019
54,6,22.0,8.5,5.99,33.0,19.0,20.0,23.27,84.1,182.0,2020-03-23 00:00:00,PF_0010019
55,7,29.5,19.0,7.63,33.0,20.0,17.0,11.05,73.91,139.0,2020-05-04 00:00:00,PF_0010019
56,8,25.5,28.0,8.29,38.0,28.0,18.0,11.42,62.58,116.0,2020-05-11 00:00:00,PF_0010019
57,9,14.0,8.0,6.96,35.0,22.0,20.0,5.55,34.43,119.0,2020-05-18 00:00:00,PF_0010019
58,10,0.0,3.0,2.75,12.5,8.0,8.0,0.1,0.0,0.0,2019-12-09 00:00:00,PF_0010019
59,11,13.0,5.0,4.71,27.0,18.0,8.0,1.09,0.0,0.0,2019-12-16 00:00:00,PF_0010019
