,WS,EL,CI,TE,WD,HI,TL,IR,HL,TI,RP,index,growLength,flowerTop,stemDiameter,leavesLength,leavesWidth,leavesNum,flowerPosition,fruitsPosition,fruitsNum,measDate,userId,fruitsNum_predict,leavesLength_predict,weeks
656,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509183,51.18038845821006,80.08086441489175,24.59534822667175,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,10,0.0,3.0,2.75,12.5,8.0,8.0,0.1,0.0,0.0,2019-12-09 00:00:00,PF_0010019,4.1767874753938194,13.479887785676803,"(2019, 50)"
660,1.6340259740259744,2.8448214285714304,387.7676785714287,6.911369047619049,4.565833333333334,84.92434523809521,90.0,281.8133673184606,0.0,17.32517857142857,0.014999999999999998,11,13.0,5.0,4.71,27.0,18.0,8.0,1.09,0.0,0.0,2019-12-16 00:00:00,PF_0010019,19.90978696303696,27.57643819468723,"(2019, 51)"
663,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509183,51.18038845821006,80.08086441489175,24.59534822667175,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,33,15.0,15.0,7.8,39.5,31.0,8.0,1.25,1.67,2.0,2019-12-23 00:00:00,PF_0010019,18.278525585126978,35.3733389717034,"(2019, 52)"
666,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509183,51.18038845821006,80.08086441489175,24.59534822667175,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,22,14.5,39.5,7.42,36.0,29.0,8.0,2.62,2.75,6.0,2019-12-30 00:00:00,PF_0010019,14.060494084435724,32.9114275515147,"(2020, 1)"
670,1.6956346749226001,2.6327380952380945,311.961755952381,3.909107142857138,5.077410714285717,82.2622619047619,90.0,281.8133673184606,0.0,17.040684523809517,0.0986904761904762,2,13.5,29.0,11.75,49.0,48.0,6.0,5.76,3.63,5.0,2020-01-06 00:00:00,PF_0010019,14.237324145024216,47.930051288968286,"(2020, 2)"
674,1.9079190751445083,2.7889062500000006,391.86114583333335,5.634375000000002,5.087760416666668,89.08895833333334,90.0,281.8133673184606,0.0,16.63375,0.28687499999999994,37,22.5,21.0,11.44,51.0,48.0,8.0,10.48,8.53,14.0,2020-01-14 00:00:00,PF_0010019,31.36472992747993,51.101023080583275,"(2020, 3)"
678,1.6595663265306118,2.7420952380952386,340.4451547619048,4.534190476190476,5.112083333333335,84.94223809523811,90.0,281.8133673184606,0.0,16.903928571428587,0.1128809523809524,13,20.5,40.5,13.11,51.0,41.0,8.0,10.54,11.21,20.0,2020-01-20 00:00:00,PF_0010019,29.568962293425532,47.93382591336508,"(2020, 4)"
682,1.6437499999999987,2.8000574712643664,363.3708189655178,4.2270402298850565,5.169051724137934,87.06084770114931,90.0,281.8133673184606,0.0,16.971422413793107,0.15436781609195402,23,25.0,31.0,13.41,51.0,44.0,9.0,16.38,16.7,28.0,2020-01-28 00:00:00,PF_0010019,38.1312682652315,51.434860142202126,"(2020, 5)"
686,1.5463525305410104,2.855941358024688,379.8904475308643,4.924521604938269,5.148086419753085,88.37095679012339,90.0,281.8133673184606,0.0,17.012669753086392,0.16700617283950614,3,27.0,26.0,11.62,44.0,28.0,7.0,22.9,20.34,35.0,2020-02-03 00:00:00,PF_0010019,49.667475274725284,44.09970781958913,"(2020, 6)"
690,1.5606588235294128,2.8621875000000068,385.9407499999999,4.166500000000002,5.1708541666666665,87.95083333333322,90.0,281.8133673184606,0.0,17.420958333333335,0.11797916666666668,14,23.5,18.0,10.27,37.0,22.0,10.0,15.97,29.22,74.0,2020-02-10 00:00:00,PF_0010019,60.374098512598536,38.636740523575725,"(2020, 7)"
694,1.7981777777777763,2.869666666666668,396.87175,6.2739166666666675,5.0709166666666645,88.84820833333332,90.0,281.8133673184606,0.0,17.749125000000006,0.2239166666666667,42,33.5,11.0,6.93,33.0,21.5,14.0,16.04,38.32,67.0,2020-02-20 00:00:00,PF_0010019,82.18123604173606,33.57254401190432,"(2020, 8)"
698,1.789278996865203,2.8745535714285717,384.28532738095237,6.795119047619044,5.034613095238094,88.23372023809523,90.0,281.8133673184606,0.0,18.04928571428573,0.1806547619047619,16,16.0,33.5,12.43,50.0,42.0,11.0,10.89,41.05,78.0,2020-02-24 00:00:00,PF_0010019,71.67514319014317,50.09945785997736,"(2020, 9)"
702,1.5200645161290316,2.8557738095238103,399.83041666666657,8.666011904761909,4.9976785714285725,89.2711904761905,90.0,281.8133673184606,0.0,17.578154761904766,0.15880952380952382,57,24.0,16.0,9.37,42.0,25.0,14.0,16.52,48.29,87.0,2020-03-02 00:00:00,PF_0010019,83.1706967754468,38.858863371842354,"(2020, 10)"
706,1.7546984126984106,2.8951190476190494,375.0166666666665,7.9597023809523835,5.033928571428572,88.82360119047623,90.0,281.8133673184606,0.0,17.846279761904768,0.099375,25,27.0,20.0,10.18,43.0,23.5,15.0,16.48,59.21,103.0,2020-03-09 00:00:00,PF_0010019,95.26619003219002,40.02981608843704,"(2020, 11)"
710,1.8853701772679896,2.781825396825396,377.7814384920634,6.508789682539683,5.089355158730164,88.00562499999994,90.0,281.8133673184606,0.0,17.93388888888891,0.1170535714285714,5,22.0,12.0,6.83,37.0,21.0,17.0,16.13,71.18,157.0,2020-03-16 00:00:00,PF_0010019,113.36719459706957,32.8703497589425,"(2020, 12)"
714,1.8968831168831173,2.832948717948717,323.47435897435895,11.659358974358973,4.90025641025641,83.84999999999995,90.0,281.8133673184606,0.0,18.618012820512817,0.003205128205128205,6,22.0,8.5,5.99,33.0,19.0,20.0,23.27,84.1,182.0,2020-03-23 00:00:00,PF_0010019,133.51861810330195,29.780387241387025,"(2020, 13)"
718,1.7214814814814807,2.8321084337349416,355.56698795180716,11.79289156626506,4.795180722891564,85.96500000000002,90.0,281.8133673184606,0.0,18.32361445783133,0.14409638554216864,18,20.0,14.0,8.94,43.0,25.0,13.0,16.92,73.73,115.0,2020-03-30 00:00:00,PF_0010019,125.58806429599811,38.767995780973095,"(2020, 14)"
722,1.9298214285714284,2.7437499999999986,320.0942857142856,10.485119047619056,4.9725,83.19583333333333,90.0,281.8133673184606,0.0,18.238511904761893,0.010416666666666666,61,21.5,24.0,9.53,42.0,29.0,14.0,16.99,73.99,164.0,2020-04-06 00:00:00,PF_0010019,136.5077074453325,41.57009833156923,"(2020, 15)"
726,1.7754786150712825,2.730657370517932,333.7279083665342,10.98501992031872,4.810219123505977,84.4489641434263,90.0,281.8133673184606,0.0,18.2315737051793,0.05886454183266932,27,20.5,20.5,9.43,40.0,25.0,17.0,23.87,61.5,130.0,2020-04-13 00:00:00,PF_0010019,137.72096410533908,39.90047435507342,"(2020, 16)"
730,2.1940243902439023,2.7031547619047616,339.91761904761904,13.232738095238092,4.7563095238095245,83.51779761904761,90.0,281.8133673184606,0.0,18.541130952380946,0.0,28,23.5,9.5,5.59,39.5,17.0,16.0,10.53,71.63,145.0,2020-04-20 00:00:00,PF_0010019,130.08180877455874,27.699626859904193,"(2020, 17)"
734,2.05533434650456,2.6664434523809524,327.33235119047583,11.714508928571437,4.835788690476186,82.90101190476193,90.0,281.8133673184606,0.0,18.31104166666666,0.008377976190476191,19,21.0,6.0,4.67,20.5,13.0,19.0,16.57,84.3,136.0,2020-04-27 00:00:00,PF_0010019,136.95271671302558,22.451070388348924,"(2020, 18)"
738,2.016034482758621,2.6823956262425535,331.34535785288256,12.81532803180916,4.665168986083502,82.99262425447313,90.0,281.8133673184606,0.0,18.711073558648106,0.029373757455268393,7,29.5,19.0,7.63,33.0,20.0,17.0,11.05,73.91,139.0,2020-05-04 00:00:00,PF_0010019,128.99768578643577,33.84798172699886,"(2020, 19)"
742,2.0728313253012045,2.555654761904764,310.49613095238107,18.887321428571433,4.916964285714287,85.41505952380955,90.0,281.8133673184606,0.0,20.408452380952387,0.0,8,25.5,28.0,8.29,38.0,28.0,18.0,11.42,62.58,116.0,2020-05-11 00:00:00,PF_0010019,116.2177595460096,39.469748158483135,"(2020, 20)"
746,1.9375301204819284,2.5496428571428567,287.18630952380937,19.740178571428565,4.490714285714286,81.08416666666662,90.0,281.8133673184606,0.0,20.804523809523804,0.04023809523809524,9,14.0,8.0,6.96,35.0,22.0,20.0,5.55,34.43,119.0,2020-05-18 00:00:00,PF_0010019,105.03209722222219,35.100928305433456,"(2020, 21)"
750,1.8951515151515148,2.558988095238094,281.6500595238093,19.551904761904773,4.440892857142853,82.85999999999997,90.0,281.8133673184606,0.0,21.0242261904762,0.05494047619047618,32,0.0,13.5,7.38,42.0,39.0,14.0,1.0,44.85,103.0,2020-05-25 00:00:00,PF_0010019,96.91054340104341,41.90106189369346,"(2020, 22)"
