,fatrCode,facilityId,measDate,weeks,fldCode,sectCode,itemCode,senVal,ymd,cntCollect,num
33858,TE,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,EO,80300,4.72,20200209,19,33871
33859,PO,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,19,33872
33860,SO,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,NT,80300,300.0,20200209,19,33873
33861,RP,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,EO,80300,0.0,20200209,19,33867
33862,PL,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,EL,80300,5.84,20200209,19,33875
33863,EO,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,19,33876
33864,SI,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,NT,80300,20.0,20200209,19,33870
33865,HE,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,EO,80300,62.11,20200209,19,33874
33866,HI,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,EI,80300,87.24,20200209,19,33869
33867,CI,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,EI,80300,522.42,20200209,19,33864
33868,HL,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,19,33866
33869,WS,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,EO,80300,1.51,20200209,19,33865
33870,TI,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,EI,80300,18.25,20200209,19,33863
33871,WD,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,EO,80300,3.11,20200209,19,33862
33872,EI,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,NT,80300,2.9,20200209,19,33861
33873,PI,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,NT,80300,5.5,20200209,19,33860
33874,TL,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,NT,80300,90.0,20200209,19,33859
33875,EL,PF_0010019_01,2020-02-09 09:00:00,"(2020, 6)",FG,EL,80300,2.77,20200209,19,33868
33876,EL,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,EL,80300,2.89,20200209,20,33888
33877,HL,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,33889
33878,HI,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,EI,80300,85.1,20200209,20,33890
33879,RP,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,EO,80300,0.0,20200209,20,33894
33880,PI,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,NT,80300,5.5,20200209,20,33893
33881,EO,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,33887
33882,PL,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,EL,80300,5.66,20200209,20,33892
33883,HE,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,EO,80300,47.8,20200209,20,33886
33884,PO,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,33891
33885,EI,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,NT,80300,2.9,20200209,20,33884
33886,CI,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,EI,80300,540.85,20200209,20,33885
33887,SO,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,NT,80300,300.0,20200209,20,33878
33888,TI,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,EI,80300,22.4,20200209,20,33879
33889,SI,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,NT,80300,20.0,20200209,20,33877
33890,WS,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,EO,80300,0.96,20200209,20,33881
33891,WD,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,EO,80300,3.2,20200209,20,33882
33892,TL,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,NT,80300,90.0,20200209,20,33883
33893,TE,PF_0010019_01,2020-02-09 10:00:00,"(2020, 6)",FG,EO,80300,8.46,20200209,20,33880
